time,x,y,z
63.774,-0.759964,0.0065,-1.899841
63.874,-2.684967,-0.36937,-0.38826
63.975,-0.692032,-0.165863,-0.196304
64.076,0.490097,-0.13205,-0.068634
64.172,-2.948502,0.563782,0.369308
64.272,-1.956558,-0.726151,-0.437073
64.373,0.141815,0.375671,-0.366394
64.474,-0.034943,-0.051041,0.050552
64.57,-3.82225,2.233704,-1.075394
64.67,-1.564178,0.539246,-0.40802
64.77,0.37114,0.165802,-0.264236
64.871,0.119629,0.054153,0.080124
64.967,-2.484055,-3.594223,-0.585709
65.067,-1.231186,-0.632751,-0.257538
65.168,0.844437,0.212189,-0.220093
65.268,-0.006363,0.23793,-0.640671
65.364,-1.143005,-0.119751,-1.105255
65.465,-0.908737,0.010025,-0.204025
65.565,0.972549,0.084122,0.097214
65.666,-2.567429,1.645752,-1.214127
65.762,-2.446213,-0.16037,-0.293381
65.862,-0.40033,0.232285,-0.199661
65.963,0.284637,0.005203,-0.009689
66.064,-3.473206,-0.629028,0.275116
